,book_id,authors,original_publication_year,original_title,title,language_code,image_url,comb
11,13335037,Veronica Roth,2011.0,Divergent,"Divergent (Divergent, #1)",eng,https://images.gr-assets.com/books/1328559506l/13335037.jpg,divergent veronica roth
12,5470,"George Orwell, Erich Fromm, Celâl Üster",1949.0,Nineteen Eighty-Four,1984,eng,https://images.gr-assets.com/books/1348990566l/5470.jpg,"nineteen eighty-four george orwell, erich fromm, celâl üster"
13,7613,George Orwell,1945.0,Animal Farm: A Fairy Story,Animal Farm,eng,https://images.gr-assets.com/books/1424037542l/7613.jpg,animal farm: a fairy story george orwell
14,48855,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947.0,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,The Diary of a Young Girl,eng,https://images.gr-assets.com/books/1358276407l/48855.jpg,"het achterhuis: dagboekbrieven 14 juni 1942 - 1 augustus 1944 anne frank, eleanor roosevelt, b.m. mooyaart-doubleday"
15,2429135,"Stieg Larsson, Reg Keeland",2005.0,Män som hatar kvinnor,"The Girl with the Dragon Tattoo (Millennium, #1)",eng,https://images.gr-assets.com/books/1327868566l/2429135.jpg,"män som hatar kvinnor stieg larsson, reg keeland"
16,6148028,Suzanne Collins,2009.0,Catching Fire,"Catching Fire (The Hunger Games, #2)",eng,https://images.gr-assets.com/books/1358273780l/6148028.jpg,catching fire suzanne collins
17,5,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999.0,Harry Potter and the Prisoner of Azkaban,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",eng,https://images.gr-assets.com/books/1499277281l/5.jpg,"harry potter and the prisoner of azkaban j.k. rowling, mary grandpré, rufus beck"
18,34,J.R.R. Tolkien,1954.0, The Fellowship of the Ring,"The Fellowship of the Ring (The Lord of the Rings, #1)",eng,https://images.gr-assets.com/books/1298411339l/34.jpg, the fellowship of the ring j.r.r. tolkien
19,7260188,Suzanne Collins,2010.0,Mockingjay,"Mockingjay (The Hunger Games, #3)",eng,https://images.gr-assets.com/books/1358275419l/7260188.jpg,mockingjay suzanne collins
20,2,"J.K. Rowling, Mary GrandPré",2003.0,Harry Potter and the Order of the Phoenix,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",eng,https://images.gr-assets.com/books/1387141547l/2.jpg,"harry potter and the order of the phoenix j.k. rowling, mary grandpré"
21,12232938,Alice Sebold,2002.0,The Lovely Bones,The Lovely Bones,eng,https://images.gr-assets.com/books/1457810586l/12232938.jpg,the lovely bones alice sebold
22,15881,"J.K. Rowling, Mary GrandPré",1998.0,Harry Potter and the Chamber of Secrets,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",eng,https://images.gr-assets.com/books/1474169725l/15881.jpg,"harry potter and the chamber of secrets j.k. rowling, mary grandpré"
23,6,"J.K. Rowling, Mary GrandPré",2000.0,Harry Potter and the Goblet of Fire,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",eng,https://images.gr-assets.com/books/1361482611l/6.jpg,"harry potter and the goblet of fire j.k. rowling, mary grandpré"
24,136251,"J.K. Rowling, Mary GrandPré",2007.0,Harry Potter and the Deathly Hallows,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",eng,https://images.gr-assets.com/books/1474171184l/136251.jpg,"harry potter and the deathly hallows j.k. rowling, mary grandpré"
25,968,Dan Brown,2003.0,The Da Vinci Code,"The Da Vinci Code (Robert Langdon, #2)",eng,https://images.gr-assets.com/books/1303252999l/968.jpg,the da vinci code dan brown
26,1,"J.K. Rowling, Mary GrandPré",2005.0,Harry Potter and the Half-Blood Prince,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",eng,https://images.gr-assets.com/books/1361039191l/1.jpg,"harry potter and the half-blood prince j.k. rowling, mary grandpré"
27,7624,William Golding,1954.0,Lord of the Flies ,Lord of the Flies,eng,https://images.gr-assets.com/books/1327869409l/7624.jpg,lord of the flies  william golding
28,18135,"William Shakespeare, Robert           Jackson",1595.0,An Excellent conceited Tragedie of Romeo and Juliet,Romeo and Juliet,eng,https://images.gr-assets.com/books/1327872146l/18135.jpg,"an excellent conceited tragedie of romeo and juliet william shakespeare, robert           jackson"
29,8442457,Gillian Flynn,2012.0,Gone Girl,Gone Girl,eng,https://images.gr-assets.com/books/1339602131l/8442457.jpg,gone girl gillian flynn
30,4667024,Kathryn Stockett,2009.0,The Help,The Help,eng,https://images.gr-assets.com/books/1346100365l/4667024.jpg,the help kathryn stockett
31,890,John Steinbeck,1937.0,Of Mice and Men ,Of Mice and Men,eng,https://images.gr-assets.com/books/1437235233l/890.jpg,of mice and men  john steinbeck
32,930,Arthur Golden,1997.0,Memoirs of a Geisha,Memoirs of a Geisha,eng,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388367666l/930.jpg,memoirs of a geisha arthur golden
33,10818853,E.L. James,2011.0,Fifty Shades of Grey,"Fifty Shades of Grey (Fifty Shades, #1)",eng,https://images.gr-assets.com/books/1385207843l/10818853.jpg,fifty shades of grey e.l. james
34,865,"Paulo Coelho, Alan R. Clarke",1988.0,O Alquimista,The Alchemist,eng,https://images.gr-assets.com/books/1483412266l/865.jpg,"o alquimista paulo coelho, alan r. clarke"
35,3636,Lois Lowry,1993.0,The Giver,"The Giver (The Giver, #1)",eng,https://images.gr-assets.com/books/1342493368l/3636.jpg,the giver lois lowry
36,100915,C.S. Lewis,1950.0,"The Lion, the Witch and the Wardrobe","The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",eng,https://images.gr-assets.com/books/1353029077l/100915.jpg,"the lion, the witch and the wardrobe c.s. lewis"
37,14050,Audrey Niffenegger,2003.0,The Time Traveler's Wife,The Time Traveler's Wife,eng,https://images.gr-assets.com/books/1437728815l/14050.jpg,the time traveler's wife audrey niffenegger
38,13496,George R.R. Martin,1996.0,A Game of Thrones,"A Game of Thrones (A Song of Ice and Fire, #1)",eng,https://images.gr-assets.com/books/1436732693l/13496.jpg,a game of thrones george r.r. martin
39,19501,Elizabeth Gilbert,2006.0,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia","Eat, Pray, Love",eng,https://images.gr-assets.com/books/1503066414l/19501.jpg,"eat, pray, love: one woman's search for everything across italy, india and indonesia elizabeth gilbert"
40,28187,Rick Riordan,2005.0,The Lightning Thief,"The Lightning Thief (Percy Jackson and the Olympians, #1)",eng,https://images.gr-assets.com/books/1400602609l/28187.jpg,the lightning thief rick riordan
41,1934,Louisa May Alcott,1868.0,Little Women,"Little Women (Little Women, #1)",en-US,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562690475l/1934._SY475_.jpg,little women louisa may alcott
42,10210,"Charlotte Brontë, Michael Mason",1847.0,Jane Eyre,Jane Eyre,eng,https://images.gr-assets.com/books/1327867269l/10210.jpg,"jane eyre charlotte brontë, michael mason"
43,15931,Nicholas Sparks,1996.0,The Notebook,"The Notebook (The Notebook, #1)",eng,https://images.gr-assets.com/books/1385738917l/15931.jpg,the notebook nicholas sparks
44,4214,Yann Martel,2001.0,Life of Pi,Life of Pi,,https://images.gr-assets.com/books/1320562005l/4214.jpg,life of pi yann martel
45,43641,Sara Gruen,2006.0,Water for Elephants,Water for Elephants,eng,https://images.gr-assets.com/books/1494428973l/43641.jpg,water for elephants sara gruen
46,19063,Markus Zusak,2005.0,The Book Thief,The Book Thief,eng,https://images.gr-assets.com/books/1390053681l/19063.jpg,the book thief markus zusak
47,4381,Ray Bradbury,1953.0,Fahrenheit 451,Fahrenheit 451,spa,https://images.gr-assets.com/books/1351643740l/4381.jpg,fahrenheit 451 ray bradbury
48,49041,Stephenie Meyer,2006.0,"New Moon (Twilight, #2)","New Moon (Twilight, #2)",eng,https://images.gr-assets.com/books/1361039440l/49041.jpg,"new moon (twilight, #2) stephenie meyer"
49,30119,Shel Silverstein,1974.0,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,Where the Sidewalk Ends,eng,https://images.gr-assets.com/books/1168052448l/30119.jpg,where the sidewalk ends: the poems and drawings of shel silverstein shel silverstein
50,256683,Cassandra Clare,2007.0,City of Bones,"City of Bones (The Mortal Instruments, #1)",eng,https://images.gr-assets.com/books/1432730315l/256683.jpg,city of bones cassandra clare
51,428263,Stephenie Meyer,2007.0,Eclipse,"Eclipse (Twilight, #3)",en-US,https://images.gr-assets.com/books/1361038355l/428263.jpg,eclipse stephenie meyer
52,113436,Christopher Paolini,2002.0,Eragon,"Eragon (The Inheritance Cycle, #1)",en-US,https://images.gr-assets.com/books/1366212852l/113436.jpg,eragon christopher paolini
53,11,Douglas Adams,1979.0,The Hitchhiker's Guide to the Galaxy,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",en-US,https://images.gr-assets.com/books/1327656754l/11.jpg,the hitchhiker's guide to the galaxy douglas adams
54,5129,Aldous Huxley,1932.0,Brave New World,Brave New World,eng,https://images.gr-assets.com/books/1487389574l/5129.jpg,brave new world aldous huxley
55,1162543,Stephenie Meyer,2008.0,Breaking Dawn,"Breaking Dawn (Twilight, #4)",en-US,https://images.gr-assets.com/books/1361039438l/1162543.jpg,breaking dawn stephenie meyer
56,37435,Sue Monk Kidd,2001.0,The Secret Life of Bees,The Secret Life of Bees,en-US,https://images.gr-assets.com/books/1473454532l/37435.jpg,the secret life of bees sue monk kidd
57,2956,"Mark Twain, John Seelye, Guy Cardwell",1884.0,The Adventures of Huckleberry Finn,The Adventures of Huckleberry Finn,eng,https://images.gr-assets.com/books/1405973850l/2956.jpg,"the adventures of huckleberry finn mark twain, john seelye, guy cardwell"
58,24178,"E.B. White, Garth Williams, Rosemary Wells",1952.0,Charlotte's Web,Charlotte's Web,eng,https://images.gr-assets.com/books/1439632243l/24178.jpg,"charlotte's web e.b. white, garth williams, rosemary wells"
59,1618,Mark Haddon,2003.0,The Curious Incident of the Dog in the Night-Time,The Curious Incident of the Dog in the Night-Time,eng,https://images.gr-assets.com/books/1479863624l/1618.jpg,the curious incident of the dog in the night-time mark haddon
60,22557272,Paula Hawkins,2015.0,The Girl on the Train,The Girl on the Train,eng,https://images.gr-assets.com/books/1490903702l/22557272.jpg,the girl on the train paula hawkins
61,119322,Philip Pullman,1995.0,Northern Lights,"The Golden Compass (His Dark Materials, #1)",eng,https://images.gr-assets.com/books/1451271747l/119322.jpg,northern lights philip pullman
62,6185,"Emily Brontë, Richard J. Dunn",1847.0,Wuthering Heights,Wuthering Heights,eng,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1587655304l/6185._SY475_.jpg,"wuthering heights emily brontë, richard j. dunn"
63,10917,Jodi Picoult,2004.0,My Sister's Keeper,My Sister's Keeper,eng,https://images.gr-assets.com/books/1369504683l/10917.jpg,my sister's keeper jodi picoult
64,4981,Kurt Vonnegut Jr.,1969.0,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",Slaughterhouse-Five,eng,https://images.gr-assets.com/books/1440319389l/4981.jpg,"slaughterhouse-five, or the children's crusade: a duty-dance with death  kurt vonnegut jr."
65,18405,Margaret Mitchell,1936.0,Gone with the Wind,Gone with the Wind,eng,https://images.gr-assets.com/books/1328025229l/18405.jpg,gone with the wind margaret mitchell
66,128029,Khaled Hosseini,2007.0,A Thousand Splendid Suns,A Thousand Splendid Suns,eng,https://images.gr-assets.com/books/1345958969l/128029.jpg,a thousand splendid suns khaled hosseini
67,22628,Stephen Chbosky,1999.0,The Perks of Being a Wallflower,The Perks of Being a Wallflower,eng,https://images.gr-assets.com/books/1167352178l/22628.jpg,the perks of being a wallflower stephen chbosky
68,11735983,Veronica Roth,2012.0,Insurgent,"Insurgent (Divergent, #2)",eng,https://images.gr-assets.com/books/1325667729l/11735983.jpg,insurgent veronica roth
69,375802,Orson Scott Card,1985.0,Ender's Game,"Ender's Game (Ender's Saga, #1)",eng,https://images.gr-assets.com/books/1408303130l/375802.jpg,ender's game orson scott card
70,18490,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818.0,"Frankenstein; or, The Modern Prometheus",Frankenstein,eng,https://images.gr-assets.com/books/1381512375l/18490.jpg,"frankenstein; or, the modern prometheus mary wollstonecraft shelley, percy bysshe shelley, maurice hindle"
71,11588,Stephen King,1977.0,The Shining,The Shining (The Shining #1),eng,https://images.gr-assets.com/books/1353277730l/11588.jpg,the shining stephen king
72,1656001,Stephenie Meyer,2008.0,The Host,"The Host (The Host, #1)",en-US,https://images.gr-assets.com/books/1318009171l/1656001.jpg,the host stephenie meyer
73,99561,John Green,2005.0,Looking for Alaska,Looking for Alaska,eng,https://images.gr-assets.com/books/1394798630l/99561.jpg,looking for alaska john green
74,14935,"Jane Austen, Tony Tanner, Ros Ballaster",1811.0,Sense and Sensibility,Sense and Sensibility,eng,https://images.gr-assets.com/books/1397245675l/14935.jpg,"sense and sensibility jane austen, tony tanner, ros ballaster"
75,38709,"Louis Sachar, Louis Sachar",1998.0,Holes,"Holes (Holes, #1)",eng,https://images.gr-assets.com/books/1327781893l/38709.jpg,"holes louis sachar, louis sachar"
76,5139,Lauren Weisberger,2003.0,The Devil Wears Prada,"The Devil Wears Prada (The Devil Wears Prada, #1)",eng,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388179604l/5139.jpg,the devil wears prada lauren weisberger
77,1381,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720.0,Ὀδύσσεια,The Odyssey,eng,https://images.gr-assets.com/books/1390173285l/1381.jpg,"ὀδύσσεια homer, robert fagles, e.v. rieu, frédéric mugler, bernard knox"
78,157993,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946.0,Le Petit Prince,The Little Prince,eng,https://images.gr-assets.com/books/1367545443l/157993.jpg,"le petit prince antoine de saint-exupéry, richard howard, dom marcos barbosa, melina karakosta"
79,7445,Jeannette Walls,2005.0,The Glass Castle,The Glass Castle,eng,https://images.gr-assets.com/books/1400930557l/7445.jpg,the glass castle jeannette walls
80,1845,Jon Krakauer,1996.0,Into the Wild,Into the Wild,eng,https://images.gr-assets.com/books/1403173986l/1845.jpg,into the wild jon krakauer
81,1953,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859.0,A Tale of Two Cities,A Tale of Two Cities,eng,https://images.gr-assets.com/books/1344922523l/1953.jpg,"a tale of two cities charles dickens, richard maxwell, hablot knight browne"
82,7677,Michael Crichton,1990.0,Jurassic Park,"Jurassic Park (Jurassic Park, #1)",spa,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348796998l/7677.jpg,jurassic park michael crichton
83,370493,Shel Silverstein,1964.0,The Giving Tree,The Giving Tree,eng,https://images.gr-assets.com/books/1174210942l/370493.jpg,the giving tree shel silverstein
84,32542,John Grisham,1989.0,A Time to Kill,A Time to Kill,eng,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554303029l/32542.jpg,a time to kill john grisham
85,1617,"Elie Wiesel, Marion Wiesel",1958.0,Un di Velt Hot Geshvign,Night (The Night Trilogy #1),eng,https://images.gr-assets.com/books/1473495285l/1617.jpg,"un di velt hot geshvign elie wiesel, marion wiesel"
86,6442769,John Green,2008.0,Paper Towns,Paper Towns,en-US,https://images.gr-assets.com/books/1349013610l/6442769.jpg,paper towns john green
87,21787,William Goldman,1973.0,The Princess Bride,The Princess Bride ,en-US,https://images.gr-assets.com/books/1327903636l/21787.jpg,the princess bride william goldman
88,231804,S.E. Hinton,1967.0,The Outsiders,The Outsiders,en-US,https://images.gr-assets.com/books/1442129426l/231804.jpg,the outsiders s.e. hinton
89,6186357,James Dashner,2009.0,The Maze Runner,"The Maze Runner (Maze Runner, #1)",eng,https://images.gr-assets.com/books/1375596592l/6186357.jpg,the maze runner james dashner
90,1202,"Steven D. Levitt, Stephen J. Dubner",2005.0,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",en-US,https://images.gr-assets.com/books/1327909092l/1202.jpg,"freakonomics: a rogue economist explores the hidden side of everything steven d. levitt, stephen j. dubner"
91,2998,Frances Hodgson Burnett,1911.0,The Secret Garden,The Secret Garden,eng,https://images.gr-assets.com/books/1327873635l/2998.jpg,the secret garden frances hodgson burnett
92,320,"Gabriel García Márquez, Gregory Rabassa",1967.0,Cien años de soledad,One Hundred Years of Solitude,eng,https://images.gr-assets.com/books/1327881361l/320.jpg,"cien años de soledad gabriel garcía márquez, gregory rabassa"
93,5297,"Oscar Wilde, Jeffrey Eugenides",1891.0,The Picture of Dorian Gray,The Picture of Dorian Gray,eng,https://images.gr-assets.com/books/1424596966l/5297.jpg,"the picture of dorian gray oscar wilde, jeffrey eugenides"
94,13536860,E.L. James,2012.0,Fifty Shades Freed,"Fifty Shades Freed (Fifty Shades, #3)",eng,https://images.gr-assets.com/books/1336418837l/13536860.jpg,fifty shades freed e.l. james
95,17245,"Bram Stoker, Nina Auerbach, David J. Skal",1897.0,Dracula,Dracula,eng,https://images.gr-assets.com/books/1387151694l/17245.jpg,"dracula bram stoker, nina auerbach, david j. skal"
96,5060378,"Stieg Larsson, Reg Keeland",2006.0,Flickan som lekte med elden,"The Girl Who Played with Fire (Millennium, #2)",eng,https://images.gr-assets.com/books/1351778881l/5060378.jpg,"flickan som lekte med elden stieg larsson, reg keeland"
97,11857408,E.L. James,2011.0,Fifty Shades Darker,"Fifty Shades Darker (Fifty Shades, #2)",eng,https://images.gr-assets.com/books/1358266080l/11857408.jpg,fifty shades darker e.l. james
98,7244,Barbara Kingsolver,1998.0,The Poisonwood Bible,The Poisonwood Bible,eng,https://images.gr-assets.com/books/1412242487l/7244.jpg,the poisonwood bible barbara kingsolver
99,4137,David Sedaris,2000.0,Me Talk Pretty One Day,Me Talk Pretty One Day,eng,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1431013639l/4137.jpg,me talk pretty one day david sedaris
100,19543,Maurice Sendak,1963.0,Where the Wild Things Are,Where the Wild Things Are,eng,https://images.gr-assets.com/books/1384434560l/19543.jpg,where the wild things are maurice sendak
101,7126,"Alexandre Dumas, Robin Buss",1844.0,Le Comte de Monte-Cristo,The Count of Monte Cristo,eng,https://images.gr-assets.com/books/1309203605l/7126.jpg,"le comte de monte-cristo alexandre dumas, robin buss"
102,6288,Cormac McCarthy,2006.0,The Road,The Road,eng,https://images.gr-assets.com/books/1439197219l/6288.jpg,the road cormac mccarthy
103,18710190,Veronica Roth,2013.0,Allegiant,"Allegiant (Divergent, #3)",eng,https://images.gr-assets.com/books/1395582745l/18710190.jpg,allegiant veronica roth
104,9418327,Tina Fey,2011.0,Bossypants,Bossypants,eng,https://images.gr-assets.com/books/1481509554l/9418327.jpg,bossypants tina fey
105,3473,Nicholas Sparks,1999.0,A Walk to Remember,A Walk to Remember,en-US,https://images.gr-assets.com/books/1385738968l/3473.jpg,a walk to remember nicholas sparks
106,9416,Sophie Kinsella,2000.0,Confessions of a Shopaholic,"Confessions of a Shopaholic (Shopaholic, #1)",eng,https://images.gr-assets.com/books/1327872404l/9416.jpg,confessions of a shopaholic sophie kinsella
107,24280,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862.0,Les Misérables,Les Misérables,eng,https://images.gr-assets.com/books/1411852091l/24280.jpg,"les misérables victor hugo, lee fahnestock, norman macafee"
108,10572,George R.R. Martin,1998.0,A Clash of Kings,"A Clash of Kings  (A Song of Ice and Fire, #2)",eng,https://images.gr-assets.com/books/1358254974l/10572.jpg,a clash of kings george r.r. martin
109,10441,Kim Edwards,2005.0,The Memory Keeper's Daughter,The Memory Keeper's Daughter,eng,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1552112312l/10441._SY475_.jpg,the memory keeper's daughter kim edwards
110,15507958,Jojo Moyes,2012.0,Me Before You,"Me Before You (Me Before You, #1)",eng,https://images.gr-assets.com/books/1357108762l/15507958.jpg,me before you jojo moyes
111,168668,Joseph Heller,1961.0,Catch-22,Catch-22,en-US,https://images.gr-assets.com/books/1463157317l/168668.jpg,catch-22 joseph heller
112,6900,"Mitch Albom, Saulius Dagys",1997.0,Tuesdays with Morrie,Tuesdays with Morrie,eng,https://images.gr-assets.com/books/1423763749l/6900.jpg,"tuesdays with morrie mitch albom, saulius dagys"
113,2187,Jeffrey Eugenides,2002.0,Middlesex,Middlesex,en-US,https://images.gr-assets.com/books/1437029776l/2187.jpg,middlesex jeffrey eugenides
114,24583,"Mark Twain, Guy Cardwell, John Seelye",1876.0,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,eng,https://images.gr-assets.com/books/1404811979l/24583.jpg,"the adventures of tom sawyer mark twain, guy cardwell, john seelye"
115,18131,Madeleine L'Engle,1962.0,A Wrinkle in Time,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",en-US,https://images.gr-assets.com/books/1329061522l/18131.jpg,a wrinkle in time madeleine l'engle
116,7763,Amy Tan,1989.0,The Joy Luck Club,The Joy Luck Club,eng,https://images.gr-assets.com/books/1304978653l/7763.jpg,the joy luck club amy tan
117,38447,Margaret Atwood,1985.0,The Handmaid's Tale,The Handmaid's Tale,eng,https://images.gr-assets.com/books/1498057733l/38447.jpg,the handmaid's tale margaret atwood
118,452306,Ann Brashares,2001.0,The Sisterhood of the Traveling Pants,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",eng,https://images.gr-assets.com/books/1461611233l/452306.jpg,the sisterhood of the traveling pants ann brashares
119,7604,"Vladimir Nabokov, Craig Raine",1955.0,Lolita,Lolita,eng,https://images.gr-assets.com/books/1377756377l/7604.jpg,"lolita vladimir nabokov, craig raine"
120,37442,"Gregory Maguire, Douglas Smith",1995.0,Wicked: The Life and Times of the Wicked Witch of the West,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",eng,https://images.gr-assets.com/books/1437733293l/37442.jpg,"wicked: the life and times of the wicked witch of the west gregory maguire, douglas smith"
121,5358,John Grisham,1991.0,The Firm,"The Firm (Penguin Readers, Level 5)",eng,https://images.gr-assets.com/books/1418465200l/5358.jpg,the firm john grisham
122,7937843,Emma Donoghue,2010.0,Room,Room,eng,https://images.gr-assets.com/books/1344265419l/7937843.jpg,room emma donoghue
123,1420,"William Shakespeare, Richard Andrews, Rex Gibson",1600.0,"The Tragicall Historie of Hamlet, Prince of Denmark",Hamlet,eng,https://images.gr-assets.com/books/1351051208l/1420.jpg,"the tragicall historie of hamlet, prince of denmark william shakespeare, richard andrews, rex gibson"
124,234225,Frank Herbert,1965.0,Dune,Dune (Dune Chronicles #1),eng,https://images.gr-assets.com/books/1434908555l/234225.jpg,dune frank herbert
125,2612,Malcolm Gladwell,2000.0,The Tipping Point: How Little Things Can Make a Big Difference,The Tipping Point: How Little Things Can Make a Big Difference,eng,https://images.gr-assets.com/books/1473396980l/2612.jpg,the tipping point: how little things can make a big difference malcolm gladwell
126,11084145,Walter Isaacson,2011.0,Steve Jobs,Steve Jobs,eng,https://images.gr-assets.com/books/1327861368l/11084145.jpg,steve jobs walter isaacson
127,332613,Ken Kesey,1962.0,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,eng,https://images.gr-assets.com/books/1485308778l/332613.jpg,one flew over the cuckoo's nest ken kesey
128,2165,Ernest Hemingway,1952.0,The Old Man and the Sea,The Old Man and the Sea,eng,https://images.gr-assets.com/books/1329189714l/2165.jpg,the old man and the sea ernest hemingway
129,4395,John Steinbeck,1939.0,The Grapes of Wrath,The Grapes of Wrath,eng,https://images.gr-assets.com/books/1352912927l/4395.jpg,the grapes of wrath john steinbeck
130,3431,Mitch Albom,2003.0,The Five People You Meet in Heaven,The Five People You Meet in Heaven,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388200541l/3431.jpg,the five people you meet in heaven mitch albom
131,8127,L.M. Montgomery,1908.0,Anne of Green Gables,"Anne of Green Gables (Anne of Green Gables, #1)",eng,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390789015l/8127.jpg,anne of green gables l.m. montgomery
132,3777732,Cassandra Clare,2009.0,City of Glass,"City of Glass (The Mortal Instruments, #3)",en-US,https://images.gr-assets.com/books/1369452339l/3777732.jpg,city of glass cassandra clare
133,62291,George R.R. Martin,2000.0,A Storm of Swords,"A Storm of Swords (A Song of Ice and Fire, #3)",eng,https://images.gr-assets.com/books/1497931121l/62291.jpg,a storm of swords george r.r. martin
134,137791,Rebecca Wells,1996.0,Divine Secrets of the Ya-Ya Sisterhood,Divine Secrets of the Ya-Ya Sisterhood,en-US,https://images.gr-assets.com/books/1408313524l/137791.jpg,divine secrets of the ya-ya sisterhood rebecca wells
135,10964,Diana Gabaldon,1991.0,Outlander,"Outlander (Outlander, #1)",eng,https://images.gr-assets.com/books/1402600310l/10964.jpg,outlander diana gabaldon
136,12296,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850.0,The Scarlet Letter,The Scarlet Letter,eng,https://images.gr-assets.com/books/1404810944l/12296.jpg,"the scarlet letter nathaniel hawthorne, thomas e. connolly, nina baym"
137,9460487,Ransom Riggs,2011.0,Miss Peregrine’s Home for Peculiar Children,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",en-US,https://images.gr-assets.com/books/1472782916l/9460487.jpg,miss peregrine’s home for peculiar children ransom riggs
138,6892870,"Stieg Larsson, Reg Keeland",2007.0,Luftslottet som sprängdes,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",en-US,https://images.gr-assets.com/books/1327708260l/6892870.jpg,"luftslottet som sprängdes stieg larsson, reg keeland"
139,18007564,Andy Weir,2012.0,The Martian,The Martian,eng,https://images.gr-assets.com/books/1413706054l/18007564.jpg,the martian andy weir
